study_status,sponsor,enrollment,study_type,study_design,study_duration_days,sex_all,sex_female,sex_male,has_child,has_adult,has_older_adult,phase1,phase2,phase3,funder_fed,funder_indiv,funder_industry,funder_network,funder_nih,funder_other,funder_other_gov,funder_unknown,missing_start_date,missing_primary_completion_date,missing_completion_date
1,9,72,0,106,183.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,100,0,144,245.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
0,9,478,0,118,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,0,0
1,9,288,0,124,574.0,True,False,False,0,1,1,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,207,0,106,631.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,210,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,1,1
1,9,192,0,150,1782.0,True,False,False,1,1,0,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,84,0,124,1293.0,True,False,False,1,1,0,0,1,0,False,False,True,False,False,False,False,False,0,0,0
1,9,30,0,61,1401.0,True,False,False,0,1,1,0,1,1,False,False,False,False,False,True,False,False,0,1,1
1,9,76,0,118,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,46,0,118,1401.0,True,False,False,0,1,0,0,1,1,False,False,False,False,False,True,False,False,0,1,1
1,9,40,0,118,1401.0,True,False,False,1,1,0,1,1,0,False,False,False,False,False,True,False,False,1,1,1
1,9,60,0,118,377.0,True,False,False,0,1,1,0,1,0,False,False,False,False,False,True,False,False,0,0,0
1,9,148,0,15,672.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
1,9,74,0,165,1401.0,True,False,False,1,1,0,0,1,0,False,False,False,False,True,False,False,False,0,1,1
1,9,270,0,124,538.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,0,0,0
0,9,480,0,15,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
1,9,1100,0,114,1401.0,True,False,False,0,1,1,0,0,1,False,False,False,False,False,True,False,False,0,1,1
0,9,240,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
0,9,480,0,106,1401.0,True,False,False,0,1,1,0,0,1,False,False,True,False,False,False,False,False,1,1,1
